,iyear,imonth,iday,country,country_txt,region,region_txt,provstate,city,latitude,longitude,attacktype1,attacktype1_txt,targtype1,targtype1_txt,natlty1,natlty1_txt,gname,weaptype1,weaptype1_txt,nkill,propextent,propextent_txt
1186,1972,2,22,92,India,6,South Asia,Delhi,New Delhi,28.585836,77.153336,4,Hijacking,6,Airports & Aircraft,75.0,Germany,Palestinians,6,Explosives,0.0,,
2764,1975,1,2,92,India,6,South Asia,Bihar,Samastipur,25.863042,85.781004,3,Bombing/Explosion,2,Government (General),92.0,India,Ananda Marga,6,Explosives,4.0,,
3857,1976,5,26,92,India,6,South Asia,Delhi,New Delhi,28.585836,77.153336,3,Bombing/Explosion,6,Airports & Aircraft,92.0,India,Unknown,6,Explosives,0.0,,
5327,1977,9,28,92,India,6,South Asia,Maharashtra,Bombay,19.075984,72.877656,4,Hijacking,6,Airports & Aircraft,101.0,Japan,Japanese Red Army (JRA),5,Firearms,0.0,,
7337,1979,1,13,92,India,6,South Asia,Assam,Unknown,26.200605,92.937574,2,Armed Assault,3,Police,92.0,India,Naga People,5,Firearms,0.0,4.0,Unknown
7342,1979,1,14,92,India,6,South Asia,Manipur,Imphal,24.798346,93.94043,1,Assassination,2,Government (General),92.0,India,Unknown,5,Firearms,3.0,,
8174,1979,4,26,92,India,6,South Asia,Manipur,Unknown,24.663717,93.906269,2,Armed Assault,3,Police,92.0,India,Meitei extremists,5,Firearms,4.0,4.0,Unknown
8685,1979,6,14,92,India,6,South Asia,Mizoram,Unknown,23.164543,92.937574,1,Assassination,2,Government (General),92.0,India,Mizo National Front,5,Firearms,1.0,,
8831,1979,7,1,92,India,6,South Asia,Assam,Unknown,26.200604,92.937574,2,Armed Assault,2,Government (General),92.0,India,Mizo National Front,5,Firearms,2.0,4.0,Unknown
8836,1979,7,2,92,India,6,South Asia,Mizoram,Aizawl,23.727107,92.717639,7,Facility/Infrastructure Attack,3,Police,92.0,India,Mizo National Front,13,Unknown,0.0,4.0,Unknown
8837,1979,7,2,92,India,6,South Asia,Mizoram,Aizawl,23.727107,92.717639,7,Facility/Infrastructure Attack,16,Telecommunication,92.0,India,Mizo National Front,13,Unknown,0.0,4.0,Unknown
9053,1979,8,8,92,India,6,South Asia,Andhra Pradesh,Amapur,16.435329,77.831725,9,Unknown,14,Private Citizens & Property,92.0,India,Mizo National Front,13,Unknown,1.0,4.0,Unknown
9113,1979,8,19,92,India,6,South Asia,Unknown,Raisikah,,,2,Armed Assault,3,Police,92.0,India,Mizo National Front,5,Firearms,1.0,4.0,Unknown
9116,1979,8,20,92,India,6,South Asia,Mizoram,Champhai,23.469545,93.337934,2,Armed Assault,3,Police,92.0,India,Mizo National Front,5,Firearms,1.0,,
9146,1979,8,25,92,India,6,South Asia,Mizoram,Aizawl,23.727107,92.717639,1,Assassination,2,Government (General),92.0,India,Mizo National Front,5,Firearms,1.0,,
9148,1979,8,26,92,India,6,South Asia,Jharkhand,Jamshedpur,22.804567,86.202875,3,Bombing/Explosion,15,Religious Figures/Institutions,92.0,India,Muslims,6,Explosives,1.0,4.0,Unknown
9157,1979,8,27,92,India,6,South Asia,Delhi,New Delhi,28.585836,77.153336,2,Armed Assault,2,Government (General),92.0,India,Mizo National Front,5,Firearms,1.0,4.0,Unknown
9158,1979,8,27,92,India,6,South Asia,Delhi,New Delhi,28.585836,77.153336,2,Armed Assault,3,Police,92.0,India,Mizo National Front,5,Firearms,1.0,,
9166,1979,8,29,92,India,6,South Asia,Jharkhand,Jamshedpur,22.804567,86.202875,3,Bombing/Explosion,14,Private Citizens & Property,92.0,India,Muslims,6,Explosives,3.0,4.0,Unknown
9213,1979,9,8,92,India,6,South Asia,Tamil Nadu,Chennai,13.08268,80.270718,3,Bombing/Explosion,19,Transportation,92.0,India,Naxalites,6,Explosives,3.0,3.0,Minor (likely < $1 million)
9313,1979,9,22,92,India,6,South Asia,Manipur,Unknown,24.663717,93.906269,2,Armed Assault,3,Police,92.0,India,People's Liberation Army (India),5,Firearms,4.0,,
9767,1979,12,5,92,India,6,South Asia,Uttar Pradesh,Unknown,26.846709,80.946159,1,Assassination,2,Government (General),92.0,India,Unknown,5,Firearms,0.0,,
9809,1979,12,12,92,India,6,South Asia,Manipur,Unknown,24.663717,93.906269,1,Assassination,2,Government (General),92.0,India,Maoists,13,Unknown,1.0,,
9878,1979,12,20,92,India,6,South Asia,Bihar,Unknown,25.096074,85.313119,2,Armed Assault,3,Police,92.0,India,Naxalites,5,Firearms,3.0,4.0,Unknown
9918,1980,1,1,92,India,6,South Asia,Manipur,Imphal,24.798346,93.94043,1,Assassination,2,Government (General),92.0,India,Maoists,13,Unknown,1.0,,
9964,1980,1,9,92,India,6,South Asia,Manipur,Unknown,24.663717,93.906269,2,Armed Assault,2,Government (General),92.0,India,Maoists,5,Firearms,2.0,4.0,Unknown
10484,1980,3,21,92,India,6,South Asia,Unknown,Chiaplant,,,1,Assassination,8,Educational Institution,92.0,India,Mizo National Front,5,Firearms,1.0,,
10491,1980,3,21,92,India,6,South Asia,Uttar Pradesh,Tindol,25.410833,78.739167,2,Armed Assault,12,NGO,92.0,India,Mizo National Front,8,Incendiary,4.0,,
10599,1980,4,4,92,India,6,South Asia,West Bengal,Calcutta,22.551729,88.352341,3,Bombing/Explosion,19,Transportation,92.0,India,Unknown,6,Explosives,2.0,,
10821,1980,4,25,92,India,6,South Asia,Delhi,New Delhi,28.585836,77.153336,1,Assassination,14,Private Citizens & Property,92.0,India,Unknown,5,Firearms,1.0,,
11722,1980,8,27,92,India,6,South Asia,Tamil Nadu,Tirupattur,12.492222,78.567778,3,Bombing/Explosion,3,Police,92.0,India,Naxalites,6,Explosives,6.0,,
12262,1980,11,8,92,India,6,South Asia,Assam,Unknown,26.200605,92.937574,3,Bombing/Explosion,21,Utilities,92.0,India,Unknown,6,Explosives,0.0,,
12466,1980,12,13,92,India,6,South Asia,Assam,Unknown,26.200605,92.937574,3,Bombing/Explosion,19,Transportation,92.0,India,Unknown,6,Explosives,0.0,,
12514,1980,12,19,92,India,6,South Asia,Assam,Unknown,26.200605,92.937574,3,Bombing/Explosion,19,Transportation,92.0,India,Unknown,6,Explosives,0.0,4.0,Unknown
12665,1981,1,15,92,India,6,South Asia,Manipur,Unknown,24.663717,93.906269,9,Unknown,3,Police,92.0,India,Unknown,13,Unknown,6.0,4.0,Unknown
12766,1981,1,28,92,India,6,South Asia,Assam,Unknown,26.200605,92.937574,3,Bombing/Explosion,4,Military,92.0,India,Anti-Immigrant extremists,6,Explosives,0.0,4.0,Unknown
12905,1981,2,13,92,India,6,South Asia,Assam,Unknown,26.200605,92.937574,3,Bombing/Explosion,21,Utilities,92.0,India,Anti-Immigrant extremists,6,Explosives,0.0,4.0,Unknown
13124,1981,3,18,92,India,6,South Asia,Assam,Gauhati,26.149794,91.763931,3,Bombing/Explosion,2,Government (General),92.0,India,Unknown,6,Explosives,0.0,,
13250,1981,4,5,92,India,6,South Asia,Assam,Gauhati,26.149794,91.763931,3,Bombing/Explosion,21,Utilities,92.0,India,Unknown,6,Explosives,0.0,,
13252,1981,4,6,92,India,6,South Asia,Assam,Jorhat,26.75602,94.20945,1,Assassination,2,Government (General),92.0,India,Unknown,6,Explosives,1.0,,
13375,1981,4,27,92,India,6,South Asia,Nagaland,Unknown,26.158435,94.562443,1,Assassination,2,Government (General),92.0,India,Insurgents,5,Firearms,3.0,,
13714,1981,6,14,92,India,6,South Asia,Assam,Unknown,26.200605,92.937574,3,Bombing/Explosion,19,Transportation,92.0,India,Unknown,6,Explosives,0.0,,
13950,1981,7,24,92,India,6,South Asia,Unknown,Unknown,,,3,Bombing/Explosion,19,Transportation,92.0,India,Extremists,6,Explosives,0.0,,
14133,1981,8,15,92,India,6,South Asia,Manipur,Unknown,24.663717,93.906269,3,Bombing/Explosion,14,Private Citizens & Property,92.0,India,People's Liberation Army (India),6,Explosives,0.0,4.0,Unknown
14134,1981,8,15,92,India,6,South Asia,Assam,Unknown,26.200605,92.937574,3,Bombing/Explosion,19,Transportation,92.0,India,Dissident,6,Explosives,0.0,4.0,Unknown
14280,1981,9,1,92,India,6,South Asia,Manipur,Unknown,24.663717,93.906269,9,Unknown,2,Government (General),92.0,India,Unknown,13,Unknown,9.0,4.0,Unknown
14362,1981,9,15,92,India,6,South Asia,Gujarat,Massad,21.214186,73.243362,1,Assassination,4,Military,92.0,India,Unknown,13,Unknown,1.0,,
14446,1981,9,29,92,India,6,South Asia,Delhi,New Delhi,28.585836,77.153336,4,Hijacking,6,Airports & Aircraft,92.0,India,Sikh Extremists,5,Firearms,0.0,,
14551,1981,10,16,92,India,6,South Asia,Chandigarh,Chandigarh,30.733315,76.779418,1,Assassination,2,Government (General),92.0,India,Sikh Extremists,5,Firearms,1.0,,
14884,1981,11,29,92,India,6,South Asia,Chandigarh,Chandigarh,30.733315,76.779418,3,Bombing/Explosion,15,Religious Figures/Institutions,92.0,India,Unknown,6,Explosives,3.0,4.0,Unknown
15509,1982,2,19,92,India,6,South Asia,Manipur,Unknown,24.663717,93.906269,9,Unknown,4,Military,92.0,India,Secessionists,13,Unknown,20.0,4.0,Unknown
16381,1982,6,4,92,India,6,South Asia,West Bengal,Unknown,22.986757,87.854975,9,Unknown,22,Violent Political Party,92.0,India,Naxalites,13,Unknown,6.0,4.0,Unknown
16411,1982,6,9,92,India,6,South Asia,Assam,Gauhati,26.149794,91.763931,3,Bombing/Explosion,14,Private Citizens & Property,92.0,India,Unknown,6,Explosives,19.0,,
16436,1982,6,14,92,India,6,South Asia,Delhi,New Delhi,28.585836,77.153336,1,Assassination,7,Government (Diplomatic),106.0,Kuwait,Unknown,5,Firearms,1.0,,
16440,1982,6,15,92,India,6,South Asia,Mizoram,Aizawl,23.727107,92.717639,1,Assassination,2,Government (General),92.0,India,Unknown,5,Firearms,1.0,,
16462,1982,6,20,92,India,6,South Asia,Mizoram,Unknown,23.164543,92.937574,1,Assassination,20,Unknown,92.0,India,Mizo National Front,5,Firearms,4.0,,
16869,1982,8,20,92,India,6,South Asia,Rajasthan,Jodhpur,26.292047,73.032411,4,Hijacking,6,Airports & Aircraft,92.0,India,Sikh Extremists,5,Firearms,1.0,,
16904,1982,8,26,92,India,6,South Asia,Maharashtra,Bombay,19.075984,72.877656,1,Assassination,7,Government (Diplomatic),215.0,United Arab Emirates,Unknown,5,Firearms,0.0,,
17126,1982,10,0,92,India,6,South Asia,Punjab,Amritsar,31.633078,74.878288,9,Unknown,2,Government (General),92.0,India,Akali Dal Party,13,Unknown,5.0,,
17309,1982,10,25,92,India,6,South Asia,Manipur,Tipaimukh,24.2355,93.025391,2,Armed Assault,3,Police,92.0,India,Mizo National Front,5,Firearms,6.0,,
17322,1982,10,26,92,India,6,South Asia,Punjab,Amritsar,31.633078,74.878288,3,Bombing/Explosion,15,Religious Figures/Institutions,92.0,India,Unknown,6,Explosives,1.0,4.0,Unknown
17459,1982,11,18,92,India,6,South Asia,Delhi,New Delhi,28.585836,77.153336,3,Bombing/Explosion,7,Government (Diplomatic),359.0,Soviet Union,Unknown,6,Explosives,0.0,,
17567,1982,12,10,92,India,6,South Asia,Maharashtra,Bombay,19.075984,72.877656,3,Bombing/Explosion,14,Private Citizens & Property,92.0,India,Unknown,6,Explosives,0.0,,
17988,1983,1,31,92,India,6,South Asia,Assam,Unknown,26.200605,92.937574,3,Bombing/Explosion,19,Transportation,92.0,India,Unknown,6,Explosives,0.0,,
18022,1983,2,3,92,India,6,South Asia,Delhi,New Delhi,28.585836,77.153336,3,Bombing/Explosion,6,Airports & Aircraft,69.0,France,Iranians,6,Explosives,0.0,,
18023,1983,2,3,92,India,6,South Asia,Delhi,New Delhi,28.585836,77.153336,3,Bombing/Explosion,6,Airports & Aircraft,95.0,Iraq,Iranians,6,Explosives,0.0,,
18078,1983,2,11,92,India,6,South Asia,Delhi,New Delhi,28.585836,77.153336,9,Unknown,7,Government (Diplomatic),217.0,United States,Unknown,13,Unknown,0.0,,
18103,1983,2,15,92,India,6,South Asia,Assam,Gauhati,26.149794,91.763931,3,Bombing/Explosion,14,Private Citizens & Property,92.0,India,Unknown,6,Explosives,0.0,,
18104,1983,2,15,92,India,6,South Asia,Assam,Guwahati,26.149794,91.763931,1,Assassination,2,Government (General),92.0,India,Unknown,13,Unknown,1.0,,
18246,1983,3,8,92,India,6,South Asia,Delhi,New Delhi,28.585836,77.153336,3,Bombing/Explosion,14,Private Citizens & Property,92.0,India,All India Sikh Students Federation (AISSF),6,Explosives,0.0,,
18247,1983,3,8,92,India,6,South Asia,Delhi,New Delhi,28.585836,77.153336,3,Bombing/Explosion,19,Transportation,92.0,India,All India Sikh Students Federation (AISSF),6,Explosives,0.0,,
18282,1983,3,15,92,India,6,South Asia,Assam,Unknown,26.200605,92.937574,3,Bombing/Explosion,19,Transportation,92.0,India,Unknown,6,Explosives,0.0,,
18283,1983,3,15,92,India,6,South Asia,Assam,Gauhati,26.149794,91.763931,3,Bombing/Explosion,14,Private Citizens & Property,92.0,India,Unknown,6,Explosives,0.0,,
18338,1983,3,21,92,India,6,South Asia,Punjab,Harchowal,31.780193,75.451952,1,Assassination,15,Religious Figures/Institutions,92.0,India,Unknown,13,Unknown,0.0,,
18339,1983,3,21,92,India,6,South Asia,Punjab,Mothan Wala,30.663937,74.401789,1,Assassination,14,Private Citizens & Property,92.0,India,Sikh Extremists,5,Firearms,1.0,,
18343,1983,3,21,92,India,6,South Asia,Punjab,Qadian,31.818914,75.376351,2,Armed Assault,14,Private Citizens & Property,92.0,India,Sikh Extremists,5,Firearms,0.0,4.0,Unknown
18415,1983,3,30,92,India,6,South Asia,Punjab,Unknown,31.147131,75.341218,3,Bombing/Explosion,14,Private Citizens & Property,92.0,India,Unknown,6,Explosives,0.0,,
18416,1983,3,30,92,India,6,South Asia,Chhattisgarh,Baloda Bazar,21.656917,82.159196,3,Bombing/Explosion,14,Private Citizens & Property,92.0,India,Unknown,6,Explosives,10.0,4.0,Unknown
18417,1983,3,30,92,India,6,South Asia,Assam,Gauhati,26.149794,91.763931,3,Bombing/Explosion,14,Private Citizens & Property,92.0,India,Unknown,6,Explosives,0.0,,
18474,1983,4,7,92,India,6,South Asia,Assam,Gauhati,26.149794,91.763931,3,Bombing/Explosion,14,Private Citizens & Property,92.0,India,Unknown,6,Explosives,2.0,4.0,Unknown
18482,1983,4,8,92,India,6,South Asia,Assam,Gauhati,26.149794,91.763931,3,Bombing/Explosion,19,Transportation,92.0,India,Unknown,6,Explosives,0.0,,
18497,1983,4,9,92,India,6,South Asia,Uttar Pradesh,Kanpur,26.449923,80.331874,3,Bombing/Explosion,14,Private Citizens & Property,92.0,India,Unknown,6,Explosives,0.0,4.0,Unknown
18498,1983,4,9,92,India,6,South Asia,Assam,Gauhati,26.149794,91.763931,3,Bombing/Explosion,11,Maritime,92.0,India,Unknown,6,Explosives,0.0,4.0,Unknown
18607,1983,4,25,92,India,6,South Asia,Punjab,Amritsar,31.633078,74.878288,1,Assassination,3,Police,92.0,India,Sikh Extremists,5,Firearms,2.0,,
19161,1983,6,26,92,India,6,South Asia,Punjab,Sultanpur Lodhi,31.214128,75.195393,1,Assassination,15,Religious Figures/Institutions,92.0,India,Sikh Extremists,13,Unknown,1.0,,
19169,1983,6,27,92,India,6,South Asia,Punjab,Jalandhar,31.326015,75.576183,3,Bombing/Explosion,14,Private Citizens & Property,92.0,India,Sikh Extremists,6,Explosives,2.0,,
19524,1983,8,15,92,India,6,South Asia,Punjab,Sri Muktsar Sahib,30.476639,74.511172,1,Assassination,3,Police,92.0,India,Unknown,5,Firearms,2.0,,
19804,1983,9,21,92,India,6,South Asia,Punjab,Jalandhar,31.326015,75.576183,3,Bombing/Explosion,15,Religious Figures/Institutions,92.0,India,Sikh Extremists,6,Explosives,0.0,,
19805,1983,9,21,92,India,6,South Asia,Punjab,Ludhiana,30.898024,75.860077,1,Assassination,3,Police,92.0,India,Sikh Extremists,5,Firearms,2.0,,
19807,1983,9,21,92,India,6,South Asia,Punjab,Amritsar,31.633078,74.878288,9,Unknown,1,Business,92.0,India,Sikh Extremists,13,Unknown,0.0,3.0,Minor (likely < $1 million)
19808,1983,9,21,92,India,6,South Asia,Punjab,Amritsar,31.633078,74.878288,9,Unknown,1,Business,92.0,India,Sikh Extremists,13,Unknown,0.0,3.0,Minor (likely < $1 million)
19831,1983,9,23,92,India,6,South Asia,Punjab,Amritsar,31.633078,74.878288,1,Assassination,14,Private Citizens & Property,92.0,India,Extremists,5,Firearms,1.0,,
19846,1983,9,26,92,India,6,South Asia,Punjab,Amritsar,31.633078,74.878288,1,Assassination,3,Police,92.0,India,Sikh Extremists,5,Firearms,3.0,,
19978,1983,10,13,92,India,6,South Asia,Delhi,Delhi,28.690073,77.213982,3,Bombing/Explosion,1,Business,92.0,India,Unknown,6,Explosives,4.0,,
19979,1983,10,13,92,India,6,South Asia,Delhi,Delhi,28.690073,77.213982,3,Bombing/Explosion,1,Business,92.0,India,Unknown,6,Explosives,4.0,,
19985,1983,10,14,92,India,6,South Asia,Delhi,New Delhi,28.585836,77.153336,3,Bombing/Explosion,19,Transportation,92.0,India,Unknown,6,Explosives,0.0,,
19987,1983,10,14,92,India,6,South Asia,Punjab,Tarn Taran,31.448943,74.925262,1,Assassination,3,Police,92.0,India,Unknown,5,Firearms,0.0,,
19997,1983,10,15,92,India,6,South Asia,Chandigarh,Chandigarh,30.733315,76.779418,3,Bombing/Explosion,14,Private Citizens & Property,92.0,India,Unknown,6,Explosives,3.0,,
20033,1983,10,17,92,India,6,South Asia,Chandigarh,Chandigarh,30.733315,76.779418,3,Bombing/Explosion,3,Police,92.0,India,Unknown,6,Explosives,0.0,,
20034,1983,10,17,92,India,6,South Asia,Chandigarh,Chandigarh,30.733315,76.779418,3,Bombing/Explosion,3,Police,92.0,India,Unknown,6,Explosives,0.0,,
20035,1983,10,17,92,India,6,South Asia,Assam,Unknown,26.200605,92.937574,3,Bombing/Explosion,19,Transportation,92.0,India,Unknown,6,Explosives,0.0,4.0,Unknown
20036,1983,10,17,92,India,6,South Asia,Punjab,Amritsar,31.633078,74.878288,1,Assassination,14,Private Citizens & Property,92.0,India,Sikh Extremists,5,Firearms,1.0,,
20083,1983,10,25,92,India,6,South Asia,Delhi,New Delhi,28.585836,77.153336,1,Assassination,7,Government (Diplomatic),102.0,Jordan,Unknown,5,Firearms,0.0,,
20186,1983,11,7,92,India,6,South Asia,Assam,Unknown,26.200605,92.937574,3,Bombing/Explosion,19,Transportation,92.0,India,Anti-Immigrant extremists,6,Explosives,14.0,,
20192,1983,11,7,92,India,6,South Asia,Delhi,New Delhi,28.585836,77.153336,9,Unknown,6,Airports & Aircraft,94.0,Iran,Fedayeen Khalq (People's Commandos),13,Unknown,0.0,4.0,Unknown
20266,1983,11,15,92,India,6,South Asia,Assam,Gauhati,26.149794,91.763931,3,Bombing/Explosion,3,Police,92.0,India,Unknown,6,Explosives,1.0,4.0,Unknown
20305,1983,11,18,92,India,6,South Asia,Punjab,Unknown,31.147131,75.341218,6,Hostage Taking (Kidnapping),19,Transportation,92.0,India,Unknown,5,Firearms,4.0,,
20306,1983,11,19,92,India,6,South Asia,Assam,Gauhati,26.149794,91.763931,1,Assassination,2,Government (General),92.0,India,Unknown,5,Firearms,0.0,,
20359,1983,11,28,92,India,6,South Asia,Punjab,Jalandhar,31.326015,75.576183,1,Assassination,2,Government (General),92.0,India,Unknown,5,Firearms,0.0,,
20513,1983,12,20,92,India,6,South Asia,Punjab,Unknown,31.147131,75.341218,1,Assassination,14,Private Citizens & Property,92.0,India,Sikh Extremists,5,Firearms,1.0,,
20854,1984,2,0,92,India,6,South Asia,Punjab,Unknown,31.147131,75.341218,3,Bombing/Explosion,14,Private Citizens & Property,92.0,India,Sikh Extremists,6,Explosives,0.0,,
20855,1984,2,0,92,India,6,South Asia,Punjab,Unknown,31.147131,75.341218,1,Assassination,14,Private Citizens & Property,92.0,India,Sikh Extremists,13,Unknown,2.0,,
20867,1984,2,1,92,India,6,South Asia,Tripura,Unknown,23.940848,91.988153,2,Armed Assault,4,Military,92.0,India,Tripura National Volunteers (TNV),13,Unknown,4.0,,
20925,1984,2,7,92,India,6,South Asia,Nagaland,Dimapur,25.906267,93.72759,1,Assassination,2,Government (General),92.0,India,Naga People,5,Firearms,1.0,,
21012,1984,2,15,92,India,6,South Asia,Punjab,Unknown,31.147131,75.341218,9,Unknown,3,Police,92.0,India,Sikh Extremists,13,Unknown,1.0,4.0,Unknown
21024,1984,2,16,92,India,6,South Asia,Punjab,Unknown,31.147131,75.341218,1,Assassination,3,Police,92.0,India,Unknown,9,Melee,1.0,,
21025,1984,2,16,92,India,6,South Asia,Punjab,Unknown,31.147131,75.341218,2,Armed Assault,3,Police,92.0,India,Unknown,6,Explosives,1.0,4.0,Unknown
21056,1984,2,20,92,India,6,South Asia,Punjab,Bhatinda,30.210994,74.945474,7,Facility/Infrastructure Attack,15,Religious Figures/Institutions,92.0,India,Unknown,8,Incendiary,0.0,,
21057,1984,2,20,92,India,6,South Asia,Punjab,Bhatinda,30.210994,74.945474,7,Facility/Infrastructure Attack,15,Religious Figures/Institutions,92.0,India,Unknown,8,Incendiary,0.0,,
21058,1984,2,20,92,India,6,South Asia,Punjab,Bhatinda,30.210994,74.945474,7,Facility/Infrastructure Attack,15,Religious Figures/Institutions,92.0,India,Unknown,8,Incendiary,0.0,,
21061,1984,2,21,92,India,6,South Asia,Punjab,Amritsar,31.633078,74.878288,3,Bombing/Explosion,3,Police,92.0,India,Sikh Extremists,6,Explosives,0.0,,
21062,1984,2,21,92,India,6,South Asia,Punjab,Hoshiapur,31.534899,75.910571,3,Bombing/Explosion,15,Religious Figures/Institutions,92.0,India,Unknown,6,Explosives,0.0,,
21101,1984,2,26,92,India,6,South Asia,Haryana,Pehowa,29.980676,76.584475,2,Armed Assault,14,Private Citizens & Property,92.0,India,Unknown,5,Firearms,3.0,,
21102,1984,2,26,92,India,6,South Asia,Punjab,Unknown,31.147131,75.341218,2,Armed Assault,14,Private Citizens & Property,92.0,India,Sikh Extremists,5,Firearms,5.0,,
21136,1984,2,29,92,India,6,South Asia,Punjab,Amritsar,31.633078,74.878288,3,Bombing/Explosion,15,Religious Figures/Institutions,92.0,India,Unknown,6,Explosives,3.0,,
21318,1984,3,15,92,India,6,South Asia,Manipur,Imphal,24.798346,93.94043,9,Unknown,4,Military,92.0,India,People's Liberation Army (India),13,Unknown,14.0,,
21424,1984,3,23,92,India,6,South Asia,Punjab,Unknown,31.147131,75.341218,3,Bombing/Explosion,19,Transportation,92.0,India,Sikh Extremists,6,Explosives,0.0,,
21426,1984,3,23,92,India,6,South Asia,Punjab,Ferozepur district,30.933135,74.622476,1,Assassination,15,Religious Figures/Institutions,92.0,India,Sikh Extremists,5,Firearms,1.0,,
21437,1984,3,25,92,India,6,South Asia,Punjab,Unknown,31.147131,75.341218,1,Assassination,14,Private Citizens & Property,,,Unknown,13,Unknown,1.0,,
21479,1984,3,28,92,India,6,South Asia,Punjab,Unknown,31.147131,75.341218,3,Bombing/Explosion,3,Police,92.0,India,Unknown,6,Explosives,0.0,,
21484,1984,3,28,92,India,6,South Asia,Delhi,New Delhi,28.585836,77.153336,1,Assassination,2,Government (General),92.0,India,Sikh Extremists,5,Firearms,2.0,,
21485,1984,3,28,92,India,6,South Asia,Punjab,Unknown,31.147131,75.341218,1,Assassination,1,Business,92.0,India,Unknown,5,Firearms,0.0,,
21508,1984,3,30,92,India,6,South Asia,Punjab,Amritsar,31.633078,74.878288,1,Assassination,14,Private Citizens & Property,92.0,India,Unknown,5,Firearms,4.0,,
21509,1984,3,30,92,India,6,South Asia,Delhi,Delhi,28.690073,77.213982,1,Assassination,14,Private Citizens & Property,92.0,India,Unknown,13,Unknown,1.0,,
21510,1984,3,30,92,India,6,South Asia,Tripura,Baramura,23.807118,91.563953,2,Armed Assault,21,Utilities,92.0,India,Tripura Nationalists,5,Firearms,0.0,,
21529,1984,4,1,92,India,6,South Asia,Punjab,Unknown,31.147131,75.341218,3,Bombing/Explosion,15,Religious Figures/Institutions,92.0,India,Unknown,6,Explosives,2.0,,
21554,1984,4,2,92,India,6,South Asia,Punjab,Amritsar,31.633078,74.878288,1,Assassination,2,Government (General),92.0,India,Dishmish Regiment,13,Unknown,3.0,,
21567,1984,4,3,92,India,6,South Asia,Chandigarh,Chandigarh,30.733315,76.779418,1,Assassination,2,Government (General),92.0,India,Dishmish Regiment,5,Firearms,1.0,,
21575,1984,4,4,92,India,6,South Asia,Punjab,Unknown,31.147131,75.341218,3,Bombing/Explosion,14,Private Citizens & Property,92.0,India,Sikh Extremists,6,Explosives,0.0,4.0,Unknown
21592,1984,4,5,92,India,6,South Asia,Rajasthan,Unknown,27.023803,74.217933,9,Unknown,1,Business,92.0,India,Sikh Extremists,13,Unknown,2.0,,
21603,1984,4,7,92,India,6,South Asia,Punjab,Unknown,31.147131,75.341218,3,Bombing/Explosion,14,Private Citizens & Property,92.0,India,Unknown,6,Explosives,0.0,,
21610,1984,4,8,92,India,6,South Asia,Punjab,Bhatinda,30.210994,74.945474,3,Bombing/Explosion,15,Religious Figures/Institutions,92.0,India,Unknown,6,Explosives,1.0,4.0,Unknown
21611,1984,4,8,92,India,6,South Asia,Punjab,Unknown,31.147131,75.341218,3,Bombing/Explosion,15,Religious Figures/Institutions,92.0,India,Sikh Extremists,6,Explosives,0.0,4.0,Unknown
21613,1984,4,8,92,India,6,South Asia,Punjab,Bhatinda,30.210994,74.945474,1,Assassination,14,Private Citizens & Property,92.0,India,Unknown,5,Firearms,1.0,,
21617,1984,4,8,92,India,6,South Asia,Punjab,Rupnagar,30.966064,76.523162,7,Facility/Infrastructure Attack,8,Educational Institution,92.0,India,Unknown,8,Incendiary,0.0,,
21654,1984,4,11,92,India,6,South Asia,Punjab,Rahon,31.052128,76.117499,1,Assassination,1,Business,92.0,India,Sikh Extremists,5,Firearms,2.0,,
21655,1984,4,11,92,India,6,South Asia,Punjab,Patiala,30.34,76.38,1,Assassination,1,Business,92.0,India,Unknown,13,Unknown,1.0,,
21656,1984,4,11,92,India,6,South Asia,Punjab,Amritsar,31.633078,74.878288,1,Assassination,1,Business,92.0,India,Sikh Extremists,13,Unknown,1.0,,
21659,1984,4,11,92,India,6,South Asia,Punjab,Unknown,31.147131,75.341218,3,Bombing/Explosion,15,Religious Figures/Institutions,92.0,India,Unknown,6,Explosives,0.0,,
21660,1984,4,11,92,India,6,South Asia,Punjab,Unknown,31.147131,75.341218,2,Armed Assault,19,Transportation,92.0,India,Sikh Extremists,8,Incendiary,0.0,,
21661,1984,4,11,92,India,6,South Asia,Punjab,Amritsar,31.633078,74.878288,2,Armed Assault,15,Religious Figures/Institutions,92.0,India,Unknown,5,Firearms,2.0,,
21663,1984,4,12,92,India,6,South Asia,Haryana,Kalanaur,28.831237,76.39556,1,Assassination,10,Journalists & Media,92.0,India,Sikh Extremists,5,Firearms,1.0,,
21674,1984,4,14,92,India,6,South Asia,Punjab,Amritsar,31.633078,74.878288,1,Assassination,17,Terrorists/Non-State Militia,92.0,India,Sikh Extremists,5,Firearms,1.0,,
21675,1984,4,14,92,India,6,South Asia,Punjab,Amritsar,31.633078,74.878288,1,Assassination,17,Terrorists/Non-State Militia,92.0,India,Sikh Extremists,5,Firearms,1.0,,
21685,1984,4,15,92,India,6,South Asia,Punjab,Unknown,31.147131,75.341218,3,Bombing/Explosion,19,Transportation,92.0,India,Dishmish Regiment,5,Firearms,0.0,,
21686,1984,4,15,92,India,6,South Asia,Punjab,Unknown,31.147131,75.341218,3,Bombing/Explosion,19,Transportation,92.0,India,Dishmish Regiment,5,Firearms,0.0,,
